id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,timezone
16125,AK33,small_airport,Herendeen Bay Airport,55.801399231,-160.899002075,20.0,,US,US-AK,Herendeen Bay,no,AK33,HED,AK33,,,,America/Anchorage
16141,AK49,small_airport,Taylor Airport,65.6792984009,-164.798995972,440.0,,US,US-AK,Taylor,no,AK49,TWE,AK49,,,,America/Nome
16165,AK71,small_airport,Point Lonely Short Range Radar Site Airfield,70.911118,-153.237766,17.0,,US,US-AK,Point Lonely,no,PALN,LNI,AK71,,https://en.wikipedia.org/wiki/Point_Lonely_Short_Range_Radar_Site,Lonely Air Station,America/Anchorage
16169,AK75,small_airport,Candle 2 Airport,65.907699585,-161.925994873,15.0,,US,US-AK,Candle,no,AK75,CDL,AK75,,,,America/Anchorage
16188,AK97,small_airport,Boswell Bay Airport,60.4230995178,-146.145996094,230.0,,US,US-AK,Boswell Bay,no,AK97,BSW,AK97,,https://en.wikipedia.org/wiki/Boswell_Bay_Airport,,America/Anchorage
301754,AKM,small_airport,Zakuoma Airport,10.8902777778,19.8172222222,1370.0,AF,TD,TD-SA,ZaKouma,no,,AKM,,,https://en.wikipedia.org/wiki/Zakouma_Airport,,Africa/Ndjamena
45229,AMC,small_airport,Mar de Cortés International Airport,31.351987,-113.305177,71.0,,MX,MX-SON,Puerto Peñasco,yes,MMPE,PPE,83550,,https://en.wikipedia.org/wiki/Mar_de_Cort%C3%A9s_International_Airport,,America/Hermosillo
301755,AME,small_airport,Alto Molocue Airport,-15.6102777778,37.6813888889,1950.0,AF,MZ,MZ-Q,Alto Molocue,no,,AME,,,,,Africa/Maputo
301676,AMF,small_airport,Ama Airport,-4.10111111111,141.67,145.0,OC,PG,PG-ESW,,no,AYAA,AMF,AMA,,,,Pacific/Port_Moresby
301689,AMU,small_airport,Amanab Airport,-3.586,141.214333333,1307.0,OC,PG,PG-SAN,Amanab,no,AYAM,AMU,ANA,,,,Pacific/Port_Moresby
301758,AMY,small_airport,Ambatomainty Airport,-17.686667,45.623889,1025.0,AF,MG,MG-M,,no,FMMB,AMY,,,https://en.wikipedia.org/wiki/Ambatomainty_Airport,,Indian/Antananarivo
8,ANYN,medium_airport,Nauru International Airport,-0.547458,166.919006,22.0,OC,NR,NR-14,Yaren District,yes,ANYN,INU,,,https://en.wikipedia.org/wiki/Nauru_International_Airport,ANAU,Pacific/Nauru
312361,ANZ,small_airport,Angus Downs Airport,-25.0325,132.2748,1724.0,OC,AU,AU-NT,Angus Downs Station,no,YADN,ANZ,,,,,Australia/Darwin
35325,AO-0001,small_airport,Catoca Airport,-9.430985,20.311478,3498.0,AF,AO,AO-LSU,Saurimo,no,,CTV,,,https://en.wikipedia.org/wiki/Catoca_Airport,Saurimo North,Africa/Luanda
